Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,4,3,10,9,7,8,18,13,14,15,16 
Anguilla,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0 
Antigua and Barbuda,,0,0,0,,,0,0,1,1,0,0,0,0,0,0 
Argentina,,590,614,580,629,534,615,597,686,688,711,704,762,824,801,829 
Armenia,66,78,102,133,116,156,147,172,,175,,,155,167,145,157 
Aruba,,0,0,0,0,0,1,0,1,0,1,0,0,3,1,0 
Australia,,46,51,35,55,55,57,64,52,58,,63,53,67,86,54 
Austria,,69,66,41,54,38,47,49,47,56,54,45,45,66,56,74 
Azerbaijan,,,,,,,,,291,,,813,970,1019,1107,1184 
Bahamas,,,2,1,5,2,2,4,3,2,4,6,3,4,5,7 
Bahrain,,6,5,4,2,8,6,6,8,4,8,8,2,9,9,13 
Barbados,,,2,0,1,0,0,1,3,0,2,2,0,1,0,0 
Belarus,,445,547,,737,776,764,831,890,,,,1027,938,827,726 
Belgium,,,53,56,50,57,58,76,84,59,88,72,92,81,100,102 
Belize,,4,15,7,12,13,13,15,8,16,6,8,15,17,20,9 
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
Bolivia,,,,,,,,,,,,,200,276,182,240 
Bosnia and Herzegovina,,114,,,160,,,,,,,,,,, 
Brazil,,4833,5023,4835,4964,5077,5243,5302,5185,5327,5285,5535,5527,5606,5909,5999 
British Virgin Islands,,,,,,0,0,0,,0,,0,0,0,0,0 
Brunei Darussalam,,17,19,14,6,12,11,8,9,10,12,12,9,10,13,15 
Bulgaria,,,150,169,169,198,197,231,275,270,274,269,276,287,299,333 
Canada,,,,94,98,90,84,131,127,125,129,102,129,143,145,138 
Cabo Verde,,,,,24,,,,,,,,,,, 
Cayman Islands,,,0,,,0,0,0,0,0,0,0,0,0,0,0 
Chile,,377,471,480,456,536,473,438,538,591,599,654,616,601,614,528 
Colombia,,,1006,965,902,971,1096,1169,1200,1102,1106,1247,1301,1328,1325,1215 
Costa Rica,,44,39,49,60,47,41,56,40,61,65,74,79,80,79,78 
Croatia,46,40,53,59,65,82,120,101,100,142,116,161,160,181,145,169 
Cuba,,38,46,41,41,45,38,47,39,47,43,43,52,37,38,53 
Cyprus,,,1,4,3,1,0,1,1,2,4,3,,,,0 
Czech Republic,56,39,66,30,55,39,51,53,70,61,69,69,81,83,94,125 
Denmark,,12,15,21,15,33,26,16,25,21,26,38,26,35,38,38 
Dominica,,0,3,1,0,0,0,1,4,1,0,1,2,0,1,2 
Dominican Republic,,,,299,291,310,232,267,272,321,327,422,426,361,349,358 
Ecuador,,417,401,432,481,548,569,669,708,775,807,763,799,892,972,1130 
Egypt,,244,232,479,582,473,553,659,643,640,713,675,829,756,749,723 
