Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,2970021,14528,64,2457,,,56,397,3,4,7720,590,286,3,31,250,5,50,81,1431,964,2,9,1,0,0,0,8,0,1,0,3,1,0,2268,79,23,307,108,,117,515,24,124,24,34,15,126,0,46,73,189,31,64,2,54,26,125,2227,2792,200,14,188,298,19,177,214,4,0,5,0,269,38,35,7,60,124,86,345 
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Antigua and Barbuda,84397,484,21,94,13,44,0,13,0,0,159,31,21,6,2,7,1,13,8,14,37,1,1,0,0,0,0,9,0,0,0,0,10,0,94,2,6,4,9,4,3,7,0,10,4,4,3,21,0,2,4,0,8,35,2,3,0,27,53,38,3,0,4,4,2,6,0,1,0,1,0,3,1,3,2,0,1,0,27 
Argentina,39969903,313772,14534,59813,1066,12039,2581,4626,1,3,94798,48115,12984,1064,799,9598,332,4509,2576,24680,19461,345,686,5,0,44,26,11092,24,5,0,179,1414,1,57296,844,1939,2825,6434,1808,3680,8792,760,5368,994,1497,1133,3959,1294,2083,1830,2517,738,8766,1213,2882,174,5226,19465,19968,3104,24,18273,5680,352,4985,7541,45,72,152,78,4315,329,562,484,343,2955,1736,8737 
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aruba,101218,536,20,158,2,40,2,10,0,0,161,23,17,6,0,6,0,2,1,44,44,1,1,0,0,0,0,13,0,0,0,0,3,0,157,7,4,7,11,5,4,17,4,19,3,3,4,19,0,7,5,1,1,34,1,3,0,26,41,40,3,0,10,3,1,6,6,0,0,0,0,18,1,8,0,1,8,3,5 
Australia,21072452,137854,1857,40331,483,5380,5691,5485,3,3,46958,11623,4804,364,1105,3331,6,587,595,1016,8232,89,52,1,0,0,8,1099,3,12,0,105,87,0,39364,677,1098,1132,4112,1109,2252,7635,1728,2683,208,338,850,2939,928,2136,1472,967,210,3818,64,7519,257,1640,22956,11505,2293,73,2561,5787,339,1451,2720,40,1,5,0,1715,1337,191,72,765,2229,219,1704 
Austria,8295189,74625,564,19520,143,4063,677,2163,1,2,32864,4552,3294,78,290,1043,3,160,222,769,4217,68,47,0,1,0,4,62,1,7,0,232,62,1,18966,453,312,934,2210,774,1379,3430,352,1531,164,273,480,1066,478,872,724,554,70,3115,2,856,174,2826,15093,5423,1818,6,1342,2818,210,1640,915,6,0,3,0,702,821,75,27,41,1285,52,1214 
Azerbaijan,8581300,50439,419,5032,153,789,28,1420,3,0,27644,3067,3328,8,11,1172,30,710,163,4197,2265,34,291,2,0,0,0,47,2,1,0,14,0,0,5019,78,225,608,223,260,110,547,31,251,67,69,53,100,66,114,136,13,127,748,16,7,31,590,6075,9089,158,6,1126,294,42,2704,1138,29,0,24,6,87,23,62,20,23,55,19,1976 
Bahamas,342259,1798,189,319,15,122,12,41,0,0,563,87,80,22,14,25,4,45,14,32,214,2,3,0,0,0,0,48,0,1,0,1,133,0,313,7,3,15,27,14,16,26,2,44,12,10,8,42,2,17,7,6,12,97,6,15,1,143,127,127,17,0,45,23,10,39,13,1,1,3,0,53,3,31,0,0,5,83,39 
