Country,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,38,38,38,38,38,38,37,37,37,37,37,,,,,
Algeria,84,83,83,83,83,83,83,,,,,,,,,
Angola,25,24,24,24,,,,,,,,,,,,
Armenia,87,87,87,87,87,87,86,86,86,86,85,85,85,84,84,84
Bangladesh,40,40,40,40,39,39,39,39,39,38,38,,,,,
Barbados,88,88,88,88,88,88,88,88,,,,,,,,
Belize,87,85,84,82,81,79,78,78,78,78,78,,,,,
Benin,10,9,9,8,7,7,6,6,5,4,4,3,2,2,1,1
Bhutan,,80,80,80,80,79,79,79,79,79,,,,,,
Bosnia and Herzegovina,97,97,97,97,97,97,97,97,,,,,,,,
Burkina Faso,12,11,11,11,11,10,10,9,9,8,8,7,7,6,6,5
Burundi,,6,6,6,6,6,6,6,6,6,,,,,,
Côte d Ivoire,20,20,20,20,20,19,19,19,19,19,,,,,,
Cambodia,66,66,65,65,65,65,65,65,,,,,,,,
Cameroon,3,3,3,3,3,3,,,,,,,,,,
Central African Republic,,17,17,17,17,16,16,16,16,16,,,,,,
Chad,6,6,6,6,6,,,,,,,,,,,
Comoros,16,16,16,16,16,16,16,16,,,,,,,,
Costa Rica,84,84,84,84,84,84,84,84,84,,,,,,,
Cuba,85,85,85,85,85,85,,,,,,,,,,
Democratic Republic of the Congo,4,4,4,4,4,4,4,4,4,4,4,4,,,,
Dominican Republic,55,55,55,54,54,54,,,,,,,,,,
Ecuador,85,85,85,85,,,,,,,,,,,,
Egypt,88,87,85,84,82,81,79,78,77,75,74,72,71,69,68,66
El Salvador,90,90,90,90,90,90,,,,,,,,,,
Equatorial Guinea,23,23,23,23,23,23,23,23,23,,,,,,,
Ethiopia,1,1,1,1,1,1,1,1,1,,,,,,,
Gambia,8,8,8,8,7,7,7,7,7,7,7,7,,,,
Ghana,19,18,18,17,16,16,15,14,14,13,12,12,11,11,10,10
Guatemala,77,77,77,77,77,,,,,,,,,,,
Guinea,9,9,9,9,9,9,9,9,9,9,,,,,,
Guinea-Bissau,7,7,7,7,7,6,6,6,6,6,6,6,,,,
Guyana,77,77,77,77,77,77,,,,,,,,,,
Haiti,26,25,25,25,25,25,24,24,,,,,,,,
Honduras,84,84,84,84,84,84,84,84,,,,,,,,
Indonesia,77,76,76,76,76,76,76,75,,,,,,,,
Iraq,91,91,91,91,91,91,91,91,91,,,,,,,
Jamaica,66,66,66,66,66,66,66,66,66,,,,,,,
Kazakhstan,96,96,96,96,96,,,,,,,,,,,
Kenya,14,14,14,14,14,14,,,,,,,,,,
Kyrgyzstan,89,89,89,89,89,89,89,89,89,89,,,,,,
Lesotho,2,2,2,2,2,2,,,,,,,,,,
Liberia,1,1,1,1,1,1,1,,,,,,,,,
Madagascar,51,50,50,50,50,45,39,34,29,24,18,13,8,5,5,5
Malawi,10,10,11,11,12,12,12,13,13,14,14,15,15,16,16,17
Mali,16,16,16,16,16,16,16,,,,,,,,,
Mauritania,17,17,17,17,17,16,16,16,16,16,16,,,,,
Mexico,88,88,88,88,88,,,,,,,,,,,
Mongolia,72,72,72,72,71,71,71,70,70,70,69,69,,,,
Mozambique,12,12,12,12,12,12,12,12,12,,,,,,,
Myanmar,80,80,80,80,,,,,,,,,,,,
Namibia,44,43,43,43,42,42,42,,,,,,,,,
Nepal,57,57,57,57,57,57,56,56,56,56,56,,,,,
Niger,,,,,,9,9,9,9,9,9,9,9,9,,
Nigeria,13,13,13,13,13,13,13,12,12,12,12,,,,,
Pakistan,60,60,60,60,60,60,60,,,,,,,,,
Republic of Moldova,87,87,87,87,87,87,87,87,,,,,,,,
Rwanda,5,5,5,5,4,4,4,3,3,3,3,2,2,2,1,1
Saint Lucia,87,87,87,87,87,87,87,87,,,,,,,,
Sao Tome and Principe,42,42,42,42,42,42,,,,,,,,,,
Senegal,15,15,15,15,15,15,15,15,15,15,15,,,,,
Serbia,,98,98,98,98,98,98,98,98,98,,,,,,
Sierra Leone,,13,13,13,13,13,13,13,13,13,,,,,,
Somalia,10,10,10,10,10,,,,,,,,,,,
Sudan,23,23,23,23,23,23,,,,,,,,,,
Suriname,,68,68,68,68,68,68,68,68,68,,,,,,
Swaziland,23,23,23,23,23,23,23,23,24,24,24,24,,,,
Tajikistan,73,72,72,72,72,72,72,72,,,,,,,,
Togo,10,10,10,10,10,10,10,10,10,10,9,,,,,
Tunisia,86,86,86,86,86,86,86,86,,,,,,,,
Turkmenistan,98,96,94,92,91,89,87,85,83,82,80,78,76,74,73,71
Uganda,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,5
United Republic of Tanzania,48,47,47,47,,,,,,,,,,,,
Viet Nam,86,86,86,85,85,85,85,85,85,85,85,,,,,
Yemen,49,49,49,48,48,48,48,,,,,,,,,
Zambia,14,13,13,13,13,13,13,,,,,,,,,
Zimbabwe,31,31,31,31,31,31,31,31,31,31,31,,,,,
