Region,Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Europe,Albania,2889173,2893661,2896655,2900253,2904784,2913029,2927522,2947320,2970021,2992551,3011490,3127263,3102764,3084150,3069275,3114000 
The Caribbean,Anguilla,,,,,,,,,,,,,,,, 
The Caribbean,Antigua and Barbuda,,90900,89985,89069,,,86300,85350,84397,83467,82565,81718,80904,80030,78972,77648 
South America,Argentina,,42980026,42538304,42095224,41655616,41222875,40798641,40381860,39969903,39558750,39145491,38728778,38309475,37889443,37471535,37057453 
Asia,Armenia,3004588,3013839,3021979,3024127,2967984,2963496,3243729,3234031,,3002161,3217534,3214030,3211267,3211604,3801222,3802400 
The Caribbean,Aruba,,103441,102921,102393,101936,101597,101416,101342,101218,100830,100031,98742,97015,94995,92894,90858 
Oceania,Australia,,23460694,23117353,22728254,22340024,22297515,21951736,21498540,21072452,20394791,20127363,20132756,19872646,19666322,19413240,19153380 
Europe,Austria,,8543932,8477230,8426311,8388534,8361069,8341483,8321541,8295189,8267948,8225278,8169441,8118245,8082121,8042293,8011566 
Asia,Azerbaijan,,,,,,,,,8581300,,8391850,8306500,8234100,8171950,8111200,8048600 
The Caribbean,Bahamas,,,377841,372388,366711,360830,354780,348587,342259,335801,329243,322539,315757,309170,303138,297891 
Middle East,Bahrain,,1314562,1349427,1333577,1195020,1228285,1178415,1103496,1039300,960422,888844,807989,761595,725365,694893,666855 
The Caribbean,Barbados,,,282503,281580,280602,279566,278466,277315,276154,275040,274013,273091,272261,271479,270686,269838 
Europe,Belarus,,9474511,9465997,9464495,9473172,9490583,9668120,9680841,9702116,9732501,9775307,9824568,9873826,9924766,9970688,10004958 
Europe,Belgium,,,11178436,11094850,11000638,10839905,10796493,10709973,10625701,10547959,10478617,10421137,10376133,10332785,10286570,10251250 
Central America,Belize,,351706,344193,336707,329193,321609,313925,306165,298403,290751,283279,276085,269132,262202,254989,247312 
Northern America,Bermuda,,,,,,,,,,,,,,,,
South America,Bolivia,,,,,,,,,,,,,,,,
Europe,Bosnia and Herzegovina,,3827343,,3836377,3839737,3843126,,,,,,,,,, 
South America,Brazil,,206077898,204259377,202401584,200517584,198614208,196701298,194769696,192784521,190698241,188479240,186116363,183627339,181045592,178419396,175786441 
The Caribbean,British Virgin Islands,,,,,,,,,,,,,,,, 
Asia,Brunei Darussalam,,417394,411499,399800,422700,414400,387080,380786,374459,383000,370100,359700,349600,344200,332844,330554 
Europe,Bulgaria,,7223937,7265115,7305888,7416046,7534289,7585131,7623395,7659764,7699020,7739900,7781161,7823557,7868900,7913301,8170172 
Northern America,Canada,,,,34868151,34499905,34126173,33746559,33363256,32982275,32611436,32299496,31989454,31669150,31372587,31021251,30790834 
Africa,Cabo Verde,,,,,495159,,,,,,,,,,, 
The Caribbean,Cayman Islands,,,,,,,,,,,,,,,, 
South America,Chile,,17762647,17575833,17388437,17201305,17015048,16829957,16645940,16462701,16279728,16096571,15913119,15729268,15544554,15358418,15170387 
South America,Colombia,,,47342363,46881018,46406446,45918101,45416276,44901660,44374647,43835744,43285636,42724157,42152147,41572493,40988909,40403959 
Central America,Costa Rica,,4757606,4706433,4654148,4600487,4545273,4488261,4429506,4369465,4308790,4247843,4187039,4125970,4063208,3996800,3925450 
Europe,Croatia,8480634,4238389,4255689,4267558,4402788,4417781,4429078,4434508,4435982,4440022,4441946,4439400,4441800,4443200,4437460,4381400 
The Caribbean,Cuba,,11379111,11362505,11342631,11323570,11308133,11297442,11290239,11284043,11275199,11261052,11240680,11214837,11184540,11151472,11116787 
Europe,Cyprus,,853166,861930,863942,848964,834454,812847,791150,771688,755266,742836,732149,722357,713720,,943287 
Europe,Czech Republic,21086372,10524783,10510719,10509286,10496672,10517247,10491492,10429692,10322689,10266646,10234092,10206923,10201651,10200774,10287482,10272503 
Europe,Denmark,,5639719,5608784,5587085,5566856,5543819,5519441,5489022,5457415,5434567,5415978,5401177,5387174,5374255,5355082,5337344 
The Caribbean,Dominica,,,,,,,,,,,,,,,, 
The Caribbean,Dominican Republic,,,,,,,,,,,,,,,, 
South America,Ecuador,,15902916,15661312,15419493,15177280,14934692,14691310,14447600,14205479,13967490,13735232,13509645,13289600,13072056,12852753,12628596 
Africa,Egypt,,86811192,87613909,85660902,83787634,82040994,80442443,75097301,73435640,72010572,70668129,69330423,72247626,70908710,69599945,68334905 
Central America,El Salvador,,,6089644,6072233,6055208,6038306,6021368,6004199,5986414,5967556,5947206,5925089,5900929,5874301,5844738,5811836 
Europe,Estonia,,1314545,1317997,1329302,1327439,1331475,1334515,1337090,1340680,1346810,1354775,1362550,1370720,1379350,1388115,1396985 
South America,Falkland Islands (Malvinas,,,,,,,,,,,,,,,, 
