Countries,Population,Total,Certain infectious and parasitic diseases,Neoplasms,Diseases of blood and disorders of immune mechanism,Endocrine nutritional and metabolic diseases,Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,Pregnancy childbirth and the puerperium,Conditions originating in the perinatal period,Congenital malformations deformations and  abnormalities,Symptoms signs and abnormal clinical and laboratory findings,External causes of morbidity and mortality,Intestinal infectious diseases,Tuberculosis,Tetanus,Diphtheria,Whooping cough,Meningococcal infection,Septicaemia,Infections with a predominantly sexual mode of transmission (excluding HIV),Poliomyelitis,Measles,Viral hepatitis,Human immunodeficiency virus [HIV] disease,Malaria,Total of malignant neoplams,Malignant neoplasm of lip oral cavity and pharynx,Malignant neoplasm of oesophagus,Malignant neoplasm of stomach,Malignant neoplasm of colon rectosigmoid junction rectum anus and anal canal,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of pancreas,Malignant neoplasm of trachea bronchus and lung,Melanoma and other skin cancers,Malignant neoplasm of  breast,Malignant neoplasm of cervix uteri,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of bladder,Malignant neoplasm of lymphomas and multiple myeloma,Leukaemia,Benign neoplasms,Anaemias,Diabetes mellitus,Malnutrition,Alzheimer and other dementias,Acute rheumatic fever and chronic rheumatic heart diseases,Hypertensive diseases,Ischaemic heart diseases,Cerebrovascular diseases,Diseases of arteries arterioles and capillaries,Influenza,Pneumonia,Chronic lower respiratory diseases,Gastric and duodenal ulcer,Diseases of the liver,Disorders of kidney and ureter,Hyperplasia of prostate,Pregnancy with abortive outcome,Other direct obstetric causes,Indirect obstetric causes,Transport accidents,Falls,Accidental drowning and submersion,Exposure to smoke fire and flames,Accidental poisoning by and exposure to noxious substances,Intentional self-harm,Assault,All other external causes
Albania,3069275,15143,99,2398,,,108,384,15,4,7516,818,333,9,33,327,2,181,61,1366,1281,14,15,0,0,0,0,13,3,0,0,5,0,0,2146,45,29,298,83,,87,510,36,102,13,29,5,110,0,37,87,252,31,113,7,71,30,308,1828,2692,289,35,401,289,15,0,273,21,0,2,0,328,36,80,13,89,119,220,396 
Anguilla,,52,5,4,2,1,0,0,0,0,21,4,3,0,0,5,0,0,0,4,3,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,2,7,6,1,0,0,1,0,1,5,0,0,0,0,1,0,2,0,0,0,0,0 
Antigua and Barbuda,78972,462,33,72,7,59,2,2,0,0,157,25,15,0,1,8,0,19,5,19,38,0,0,0,0,0,0,18,0,0,0,0,14,0,70,2,1,3,3,1,7,2,2,6,3,2,0,19,0,3,4,2,7,50,1,0,1,44,37,37,0,0,11,5,3,6,6,1,0,0,0,9,0,5,2,0,2,9,11 
Argentina,37471535,285941,13827,55769,1018,12352,2000,3742,0,0,93918,35874,11474,583,536,7113,309,5572,2887,18837,19895,430,801,12,0,14,38,9935,36,0,0,195,1474,0,53533,832,1922,2914,5726,1732,3115,8169,694,5170,947,1463,1002,3525,1188,2042,1747,2236,698,8973,1287,2132,233,4527,20619,22654,3803,14,11557,5074,400,4356,6127,42,92,157,48,4221,315,774,391,175,3142,2600,8277 
Armenia,3801222,24003,239,4136,,,72,,,,13107,1228,900,7,60,390,7,228,158,753,1101,41,145,2,,0,3,24,,,0,,,0,4128,80,48,427,301,,,875,,425,92,107,,89,,124,120,8,12,1362,,,133,0,8357,3837,186,4,179,931,137,477,297,55,1,,,204,26,42,30,44,60,67,628 
Aruba,92894,469,27,102,1,39,8,5,0,0,142,27,17,11,0,8,0,3,0,31,48,2,1,0,0,0,0,17,0,0,0,1,5,0,102,2,2,16,8,2,4,15,1,7,3,0,2,8,3,4,6,0,1,31,0,2,0,16,36,28,5,0,17,2,2,8,7,1,0,0,0,20,0,6,2,0,4,4,12 
Australia,19413240,128657,1699,37459,410,4333,2696,4221,4,8,49534,10622,4053,269,897,2846,12,657,601,528,7808,42,86,1,0,2,41,990,1,18,0,27,120,2,36709,693,1039,1209,4754,777,1811,7041,1461,2594,271,299,837,2718,908,2264,1364,750,183,3093,79,3835,253,1224,26304,12201,2632,32,2685,5913,442,1170,2093,38,0,12,0,2008,630,242,58,605,2459,308,1498 
Austria,8042293,74767,297,18906,,,456,1145,1,1,38385,3914,3349,27,117,974,5,191,180,954,4227,7,56,1,0,0,9,73,0,0,1,50,50,2,18487,461,310,1150,2448,370,1237,3195,300,1572,128,360,573,1184,536,842,687,419,41,1460,0,412,196,1347,15647,8153,2055,59,1239,2238,249,1765,847,10,0,5,0,925,969,82,52,92,1489,77,541 
Azerbaijan,8111200,45284,1532,5455,187,1323,79,922,4,5,25267,3519,2590,4,79,790,27,290,151,1082,1978,218,1107,5,4,0,8,59,0,0,3,32,0,2,5448,39,366,964,272,397,168,796,,375,68,160,74,184,118,15,233,7,121,1278,7,,140,1649,16564,4901,,2,1462,930,230,2045,,,7,18,0,382,24,38,338,87,317,210,582 
Bahamas,303138,1745,280,287,11,121,5,30,0,0,506,122,80,20,14,25,10,27,11,35,161,1,5,0,0,0,0,5,0,0,0,1,267,0,285,7,13,16,17,10,15,19,4,43,14,8,9,42,4,14,7,2,9,105,2,9,3,151,175,99,17,0,54,9,5,48,22,0,3,5,2,57,7,14,1,1,1,50,30 
