Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,,,,,,,,,,, 
Anguilla,,2,2,1,2,0,2,2,,0,0,1,1,0,2,1 
Antigua and Barbuda,,6,7,9,,,10,5,13,4,9,10,9,8,7,9 
Argentina,,1324,1313,1238,1111,1113,997,967,1066,932,995,1116,1204,1040,1018,1030 
Armenia,15,20,21,22,19,20,14,11,,13,,,,,, 
Aruba,,3,3,3,2,3,3,2,2,3,1,5,5,0,1,3 
Australia,,535,501,434,463,404,429,504,483,495,,484,444,437,410,406 
Austria,,186,198,210,192,159,159,169,143,122,137,91,94,95,, 
Azerbaijan,,,,,,,,,153,,,131,218,185,187, 
Bahamas,,,16,15,30,17,11,14,15,14,19,11,12,10,11,11 
Bahrain,,46,40,56,50,48,34,38,36,29,38,41,39,35,27,19 
Barbados,,,18,27,18,24,13,22,29,26,35,12,32,15,12,23 
Belarus,,68,61,,76,76,73,74,66,,,,63,68,, 
Belgium,,,384,426,358,383,369,362,343,316,344,344,329,343,331,323 
Belize,,17,16,8,13,27,15,23,16,9,13,5,10,10,19,8 
Bermuda,5,2,7,1,0,2,1,4,3,3,1,4,2,3,2,1 
Bolivia,,,,,,,,,,,,,131,198,103,134 
Bosnia and Herzegovina,,40,,,58,,,,,,,,,,, 
Brazil,,6094,6368,6341,6332,6270,6011,5837,5718,5496,4993,4977,5348,5213,5239,4796 
British Virgin Islands,,,,,,2,0,1,,1,,1,2,0,0,1 
Brunei Darussalam,,11,8,12,8,9,6,1,5,2,1,7,3,13,4,4 
Bulgaria,,,143,135,144,133,160,134,179,160,152,,,,, 
Canada,,,,879,946,928,978,970,904,757,901,800,934,869,847,780 
Cabo Verde,,,,,10,,,,,,,,,,, 
Cayman Islands,,,1,,,1,0,0,1,1,1,1,0,0,0,0 
Chile,,500,421,468,478,420,442,331,362,346,329,299,279,294,312,295 
Colombia,,,888,850,818,865,835,770,813,870,864,744,819,983,943,879 
Costa Rica,,77,74,63,51,57,62,86,57,71,70,66,61,54,57,47 
Croatia,25,20,23,37,41,39,54,43,47,38,49,52,56,45,37,43 
Cuba,,213,189,201,202,186,194,226,169,217,226,183,227,187,205, 
Cyprus,,,32,44,39,30,37,30,37,32,31,23,,,,2 
Czech Republic,237,205,204,175,155,130,139,137,111,92,106,62,99,79,80,94 
Denmark,,218,246,276,265,284,276,266,242,188,215,258,245,246,196,197 
Dominica,,12,7,3,10,9,7,9,10,6,6,4,4,7,6, 
Dominican Republic,,,,204,140,166,158,108,140,146,200,217,196,176,191,198 
Ecuador,,504,479,451,495,447,441,496,558,631,602,499,538,550,581,655 
Egypt,,5569,5786,6365,5625,5372,5308,5157,4612,4505,3834,3525,2585,2614,2514,2261 
El Salvador,,,149,145,175,161,176,182,161,157,142,150,143,141,154,171 
Estonia,,18,20,15,18,12,10,14,17,17,13,16,16,11,15,12 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,72,53,,29,36,30,28,11,21,30,25,43, 
Finland,,64,70,53,54,57,37,50,59,57,47,54,64,61,64,49 
France,,,2034,2046,2166,2252,2240,2186,2136,2185,2147,2115,2282,2209,2247,2276 
French Guiana,,,4,4,5,3,4,3,3,10,4,3,4,3,4, 
Georgia,,242,158,123,90,54,50,,8,0,66,45,,,38,20 
Germany,,2931,2916,2685,2683,2574,2442,2454,2136,2044,2123,2054,2029,1872,1901,1815 
Greece,,,,,,,,,,,,,,,, 
Grenada,13,15,17,8,6,15,9,16,12,6,11,10,2,10,8, 
Guadeloupe,,,20,15,14,16,15,22,21,19,17,16,15,15,10,17 
Guatemala,,700,617,669,685,826,860,440,493,378,409,,,,, 
Guyana,,,,111,92,80,61,85,58,62,69,72,54,86,57, 
Haiti,,,,,,,,,,,,29,95,118,90, 
Honduras,,,56,72,54,60,60,53,,,,,,,, 
Hong Kong SAR,,,111,83,104,117,89,112,107,95,92,93,93,83,82, 
Hungary,,235,207,207,211,231,260,233,204,200,211,133,123,138,123,139 
Iceland,5,4,6,7,5,0,5,2,6,5,5,5,2,2,2,4 
Iraq,,,,,,,,343,,,,,,,, 
Ireland,,,102,94,75,78,79,77,95,,,,,,, 
Israel,,319,297,286,294,275,323,311,287,213,235,236,366,234,256,302 
Italy,,,,3112,2925,2752,2664,2607,2726,2564,,,2376,,, 
Jamaica,,,,,142,181,205,,,255,245,202,171,169,181,196 
Japan,,4275,4477,4429,4357,4314,4040,4059,4131,4180,4173,4066,3992,3944,3860,4057 
Jordan,,,,66,76,91,86,78,,,,,,,, 
Kazakhstan,172,169,136,167,149,165,137,148,176,135,139,157,,,, 
Kiribati,,,,,,,,,,,,,,,6,4 
Kuwait,,25,18,22,17,20,10,26,19,33,17,26,24,22,23,20 
Kyrgyzstan,44,45,50,52,41,51,42,50,51,55,68,55,66,59,64,78 
Latvia,,40,24,30,29,29,36,33,40,29,33,31,31,25,30,22 
Lithuania,43,40,38,28,30,47,27,23,32,35,31,29,19,35,21,30 
Luxembourg,,16,19,12,21,18,8,5,12,10,13,12,12,13,11,8 
Macau,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,470,501,416,390,301,273,318,296,228 
Maldives,,,,,14,13,,14,9,,2,7,10,13,23,5 
Malta,,8,4,5,11,8,15,5,8,9,8,6,9,3,3,2 
Martinique,,,12,,15,10,16,19,13,10,21,12,17,14,16,12 
Mauritius,,64,44,58,76,72,54,45,41,26,18,,,,, 
Mayotte,,,1,2,0,,,,,,,,,,, 
Mexico,,4714,4562,4618,4419,4724,4606,4498,4226,4083,4455,4214,4143,3953,3975,3855 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,5,3,4,9,5,2,9,4,3,2 
Montserrat,1,1,0,1,0,0,1,2,2,2,0,1,1,0,0,0 
Morocco,,,,316,311,330,296,239,,,,,,,, 
Netherlands,488,485,504,473,443,432,466,441,485,474,507,511,489,515,411,367 
Netherlands Antilles,,,,,,,,,,,,,,,,5 
New Zealand,,,,61,58,58,66,54,63,58,70,64,69,61,73,46 
Nicaragua,,,138,107,100,102,88,87,99,75,116,93,102,76,76,60 
Norway,,154,139,131,142,148,129,114,119,140,110,123,114,123,129,85 
Occupied Palestinian Territory,,11,7,8,7,13,16,12,,,,,,,, 
Oman,,,,,,54,74,,,,,,,,, 
Panama,,122,148,99,114,116,110,61,78,73,85,106,90,98,87,100 
Paraguay,,179,161,144,104,93,64,85,74,65,86,65,51,55,65,52 
Peru,,183,191,684,664,536,435,358,462,576,517,780,744,669,588,466 
Philippines,,,,,3186,3202,2975,3110,3238,3302,,,2986,2869,3109,2754 
Poland,,212,300,280,325,398,426,435,488,463,583,577,544,584,572,549 
Portugal,,467,456,464,418,373,341,357,307,,,,255,224,, 
Puerto Rico,,339,316,332,344,331,357,340,315,347,323,307,291,292,312,320 
Qatar,,16,13,9,8,10,11,10,8,7,11,5,,,4, 
Republic of Korea,,,690,626,572,615,571,483,502,459,442,443,423,453,454,480 
Republic of Moldova,26,17,12,12,20,19,17,17,20,28,12,17,22,17,19,31 
Reunion,,,15,9,21,17,15,22,15,10,24,17,19,16,16, 
Rodrigues,,1,1,5,2,3,4,1,0,4,0,,,,, 
Romania,122,125,132,132,138,139,151,116,104,124,115,131,122,135,121,133 
Russian Federation,,,,,1286,1184,1201,1209,1258,1185,1231,1211,1232,1355,1367,1521 
Saint Kitts and Nevis,,,,6,5,4,2,4,4,5,3,3,1,2,0,2 
Saint Lucia,,16,15,9,11,4,9,7,,11,6,8,12,5,15,7 
Saint Pierre and Miquelon,,,,,,0,0,1,,0,0,,,,, 
Saint Vincent and the Grenadines,11,9,13,15,13,15,14,18,9,10,2,6,6,12,12,4 
San Marino,0,,,,,,,,,,,,,,, 
Sao Tome and Principe,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,268,,,238,,,,,,,,, 
Serbia,,251,217,193,213,184,141,170,182,168,157,138,108,101,94,89 
Seychelles,,15,10,6,9,12,12,9,3,10,4,7,10,15,7, 
Singapore,5,18,12,16,,,,,,,,,,,, 
Slovakia,,54,60,48,,41,58,72,74,63,55,65,60,68,66,56 
Slovenia,20,,24,35,36,36,32,30,41,21,31,18,32,33,21,39 
South Africa,,9566,10313,14285,14698,14229,16777,18338,19081,19400,19743,19429,18416,15806,14310,13077 
Spain,,1784,1639,1555,1528,1519,1468,1342,1289,1227,1316,1291,1244,1256,1118,1210 
Sri Lanka,,,,,,,,,,321,,,440,443,380,455 
Suriname,,10,8,13,11,13,15,23,21,19,26,19,19,15,20,12 
Sweden,313,256,300,300,289,292,297,336,322,274,307,230,262,267,247,252 
Switzerland,,,160,176,179,168,159,163,146,168,176,163,170,150,170,147 
Syrian Arab Republic,,,,,,160,198,252,146,201,180,153,137,193,152,188 
Tajikistan,,,,,,,,,,,,,,,, 
TFYR Macedonia,,,12,8,11,15,11,17,11,12,,,,,, 
Thailand,,724,780,656,618,596,538,563,594,581,601,564,854,3361,,9180 
Trinidad and Tobago,,,,,,85,73,75,69,91,85,80,73,81,87,80 
Tunisia,,,101,,,,143,,,,,,,,, 
Turkey,,,1484,1377,1379,1321,1238,,,,,,,,, 
Turkmenistan,,61,59,59,68,64,82,72,54,53,65,65,85,89,57,50 
Turks and Caicos Islands,,1,0,,,,0,0,1,0,0,0,0,3,0,2 
Ukraine,,241,,296,302,286,317,314,351,332,387,,,,, 
United Arab Emirates,,,,,,,,,,,,,,,, 
United Kingdom,,,1102,1096,1114,1127,1167,1079,1184,1162,1252,1167,1258,1239,1158,114 
United States of America,,10688,10166,10415,10107,9718,9646,9873,9745,8834,9590,9423,9584,9661,9535,9315 
Uruguay,,174,179,145,,169,138,135,126,155,173,165,170,150,153,166 
Uzbekistan,,330,274,219,235,266,224,,,,324,329,,,, 
Venezuela (Bolivarian Republic of),,,468,382,368,353,349,352,354,294,313,329,342,279,330,365 
Virgin Islands (USA),,,,3,7,4,3,3,2,3,8,6,3,3,5,3 
Zimbabwe,,,,,,,,,,,,,,,, 
