Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,6664,9136,9321,7720,8815,8817,8891,8994,8062,7516,7841 
Anguilla,,20,28,18,22,23,23,16,,13,13,14,20,18,21,34 
Antigua and Barbuda,,211,164,170,,,131,183,159,172,191,175,184,147,157,136 
Argentina,,91125,93225,94958,95755,96414,89106,89706,94798,89603,89490,90883,94982,94809,93918,91499 
Armenia,12817,13267,12960,13330,13315,13657,13525,13681,,13587,,,14253,14027,13107,13198 
Aruba,,204,180,191,207,201,186,160,161,183,139,185,180,177,142,252 
Australia,,45053,43607,44038,45637,45520,46183,48673,46958,45914,,47545,48603,49977,49534,49833 
Austria,,33136,34101,33931,32374,33196,33223,32294,32864,32489,32636,32486,34914,36906,38385,40111 
Azerbaijan,,,,,,,,,27644,,,28495,28176,26505,25267,26205 
Bahamas,,,622,615,707,690,682,624,563,527,595,569,504,566,506,458 
Bahrain,,865,839,822,816,797,612,606,614,529,527,593,656,580,564,537 
Barbados,,,745,679,708,659,718,765,723,697,703,666,844,708,561,819 
Belarus,,67473,66208,,70206,73900,73040,70618,70318,,,,78769,79171,76736,72401 
Belgium,,,31314,31456,31008,32190,32599,33141,33082,32896,34600,35302,37069,37262,36772,38046 
Belize,,368,335,347,339,326,341,281,324,315,314,307,325,301,290,622 
Bermuda,170,186,161,152,142,123,132,134,196,182,165,162,133,133,180,209 
Bolivia,,,,,,,,,,,,,2234,2374,1583,1605 
Bosnia and Herzegovina,,17906,,,18396,,,,,,,,,,, 
Brazil,,340293,339607,333264,335173,326345,320053,316822,308431,302792,283874,285497,274020,267432,263327,260484 
British Virgin Islands,,,,,,24,29,33,,25,,40,38,39,36,31 
Brunei Darussalam,,408,351,276,329,335,333,336,333,352,310,304,334,341,295,260 
Bulgaria,,,67910,71644,72582,74392,71306,71492,74380,75332,74932,74064,75678,76312,74756,76141 
Canada,,,,66952,66178,67701,68703,69945,69834,69019,71749,72743,74255,74626,74818,76426 
Cabo Verde,,,,,655,,,,,,,,,,, 
Cayman Islands,,,51,,,43,43,46,49,42,53,47,46,45,52,55 
Chile,,28064,27659,27179,25744,27158,24835,23912,25131,24087,24290,24268,23770,22452,22665,21956 
Colombia,,,62525,61033,58874,59398,57314,58692,57453,57786,55814,54237,53503,51671,51136,51608 
Costa Rica,,5968,5553,5727,5440,5599,4807,4657,4706,4800,4546,4781,4493,4517,4884,4739 
Croatia,25694,24112,24232,24988,24841,25631,25976,26235,26506,25611,26029,24959,27872,26698,26542,26712 
Cuba,,36427,34871,34189,33648,36731,34437,34756,32644,32690,34796,32805,32043,30469,33192,32270 
Cyprus,,,1823,2019,2041,1928,1951,2015,2092,2040,2125,2013,,,,2179 
Czech Republic,50969,48627,51731,53046,52725,53590,54100,52280,52464,52560,55155,55042,58065,57152,57404,58192 
Denmark,,12109,12655,13096,13093,14398,14628,15031,16042,16971,17639,18538,19837,20446,20873,20531 
Dominica,,265,224,239,182,184,201,210,206,191,157,196,183,198,178,129 
Dominican Republic,,,,12138,11152,10446,8992,8818,8315,8041,9422,9319,8489,7409,7216,6750 
Ecuador,,14536,14471,14387,13658,13551,13026,13879,13349,13242,12747,12111,12613,12879,12345,12429 
Egypt,,254011,218493,245826,218796,222186,217798,210354,203125,200412,193021,188800,178650,171394,161088,146161 
El Salvador,,,5587,5667,6245,6039,5941,5794,5482,5761,5526,5513,5602,5372,5558,5534 
Estonia,,8250,8293,8339,8159,8750,8796,9074,9057,9187,9231,9402,9952,9983,9922,9982 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,2264,2326,,2595,2195,2192,2293,2367,2180,2465,2454,2837, 
Finland,,19643,19654,20329,20246,20587,20361,20281,20312,19980,19764,19758,20775,21133,20787,21399 
France,,,138894,141337,138684,143144,144842,146663,145272,145453,149836,147322,159804,158095,160157,161913 
French Guiana,,,133,142,127,145,136,159,137,131,152,134,160,150,119, 
Georgia,,20619,18693,20001,17881,14426,25725,,27555,28365,27487,31441,,,28337,29701 
Germany,,338056,354493,349217,342233,352689,356462,356729,358684,358953,367361,368472,396622,393778,391728,395043 
Greece,,,46342,49728,47741,47706,48453,49214,50139,50278,49738,51150,52763,51763,51513,52283 
Grenada,271,354,286,281,266,291,270,321,248,275,298,316,274,312,208, 
Guadeloupe,,,710,699,740,780,823,763,749,831,863,833,781,831,759,783 
Guatemala,,12533,11930,11712,11160,10266,9526,10357,10566,9791,8743,8006,9422,7046,7337,7163 
Guyana,,,,2051,1949,1985,1816,1849,1779,1699,1754,1780,1689,1545,1430, 
Haiti,,,,,,,,,,,,452,1411,1198,1250, 
Honduras,,,1143,1078,1064,1103,972,1003,,,,,,,, 
Hong Kong SAR,,,9782,10320,10346,10830,10596,11333,10738,9680,10138,10146,9635,8901,8448,9549 
Hungary,,62786,62979,64178,64250,65819,64921,64749,66547,66561,70938,67165,69050,67826,67423,68873 
Iceland,745,674,709,656,689,724,729,706,689,716,656,732,731,745,682,717 
Iraq,,,,,,,,43130,,,,,,,, 
Ireland,,,9473,9480,9236,9189,9692,9956,9956,9979,10149,10666,11038,11652,11886,12666 
Israel,,10088,10036,10157,10452,10143,9931,10258,11304,10725,11123,11030,11296,11471,11565,11809 
Italy,,,,230160,223110,221617,224830,225588,224311,220074,,,241758,237198,235289,240430 
Jamaica,,,,,5098,5029,5036,,,4544,4559,4886,4592,3987,4555,4946 
