Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,38,38,49,81,58,52,57,62,46,61,76 
Anguilla,,0,4,0,1,0,0,0,,2,0,0,1,1,0,0 
Antigua and Barbuda,,3,3,3,,,2,3,8,3,4,4,7,1,5,3 
Argentina,,2781,2622,2601,2686,2710,2756,2762,2576,2678,2643,2845,2857,2867,2887,2901 
Armenia,401,456,464,450,469,408,312,197,,191,,,156,158,158,191 
Aruba,,5,2,2,5,1,1,4,1,3,1,2,2,1,0,1 
Australia,,614,621,550,550,610,638,614,595,553,,585,596,578,601,622 
Austria,,273,261,239,255,258,271,247,222,209,229,232,224,203,180,207 
Azerbaijan,,,,,,,,,163,,,275,180,148,151,129 
Bahamas,,,15,11,15,13,9,11,14,20,18,20,18,17,11,13 
Bahrain,,65,46,45,40,42,47,45,60,39,46,47,54,45,64,50 
Barbados,,,24,16,15,19,11,21,7,10,17,6,12,21,2,8 
Belarus,,253,246,,257,272,306,267,285,,,,411,467,483,462 
Belgium,,,266,295,225,258,242,255,236,205,219,231,248,266,235,270 
Belize,,26,38,25,45,30,29,19,25,28,24,24,17,22,21,28 
Bermuda,0,0,3,1,0,1,1,4,3,1,0,0,1,0,0,0 
Bolivia,,,,,,,,,,,,,60,38,20,31 
Bosnia and Herzegovina,,48,,,58,,,,,,,,,,, 
Brazil,,10943,10619,10517,10442,10075,10256,10357,10144,10293,9832,10107,10010,9647,9463,9730 
British Virgin Islands,,,,,,1,0,2,,0,,0,1,1,0,2 
Brunei Darussalam,,22,24,13,35,21,25,20,23,17,25,17,25,29,32,33 
Bulgaria,,,156,143,141,169,152,207,169,185,251,211,211,234,273,274 
Canada,,,,990,893,901,896,893,866,865,917,865,912,890,892,920 
Cabo Verde,,,,,34,,,,,,,,,,, 
Cayman Islands,,,0,,,2,3,0,2,1,0,3,1,2,0,0 
Chile,,971,927,938,956,859,927,814,872,887,929,963,916,945,908,975 
Colombia,,,2457,2543,2466,2665,2597,3007,2733,2741,2641,2848,2796,2796,2865,2826 
Costa Rica,,263,237,290,301,287,272,259,299,253,276,252,298,292,321,305 
Croatia,114,109,105,80,109,118,134,108,112,125,141,129,112,126,150,127 
Cuba,,387,381,396,393,378,405,382,410,402,478,514,513,541,512,565 
Cyprus,,,9,19,21,14,10,10,15,13,11,13,,,,2 
Czech Republic,156,166,183,167,156,135,142,145,164,104,116,82,127,118,142,111 
Denmark,,152,136,146,124,94,99,146,176,172,190,199,205,186,208,220 
Dominica,,4,6,4,9,5,3,2,5,6,7,2,2,3,9,3 
Dominican Republic,,,,721,541,294,329,269,259,316,361,384,425,426,411,371 
Ecuador,,850,908,770,716,694,824,644,678,617,554,503,482,510,580,612 
Egypt,,8654,8525,8149,6869,6971,5977,6182,6241,5669,5748,5997,6276,6715,6891,6218 
El Salvador,,,262,252,257,311,358,387,339,377,306,344,332,364,346,401 
Estonia,,29,23,36,33,32,35,43,43,43,39,43,46,42,49,54 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,107,91,,65,74,57,29,25,12,14,28,36, 
Finland,,177,167,185,173,150,184,175,171,183,192,171,174,152,169,190 
France,,,1500,1440,1394,1472,1488,1431,1543,1500,1480,1518,1550,1440,1630,1708 
French Guiana,,,12,23,12,22,11,15,19,9,9,12,16,7,9, 
Georgia,,153,140,105,57,19,39,,65,59,29,57,,,15,16 
Germany,,1665,1706,1532,1619,1572,1563,1442,1451,1473,1528,1576,1621,1572,1612,1643 
Greece,,,195,222,239,256,214,163,222,208,197,240,223,254,265,247 
Grenada,6,7,3,10,10,3,6,3,6,7,6,10,3,2,0, 
Guadeloupe,,,23,10,10,12,12,10,7,17,21,17,18,10,16,13 
Guatemala,,1449,1409,1343,1175,992,925,658,942,803,777,557,558,655,629,654 
Guyana,,,,34,29,44,26,36,41,52,46,62,59,58,48, 
Haiti,,,,,,,,,,,,10,57,55,27, 
Honduras,,,395,390,331,386,359,304,,,,,,,, 
Hong Kong SAR,,,60,73,81,76,93,78,104,97,89,98,90,101,80,99 
Hungary,,320,276,310,344,361,358,351,381,383,339,286,332,324,361,368 
Iceland,7,8,12,6,6,6,5,4,8,6,6,6,10,12,4,5 
Iraq,,,,,,,,1754,,,,,,,, 
Ireland,,,196,186,182,178,187,194,195,179,181,165,211,202,192,200 
Israel,,252,282,294,287,257,287,270,277,244,278,253,249,249,227,225 
Italy,,,,1325,1426,1338,1323,1349,1319,1385,,,1798,1428,1466,1410 
Jamaica,,,,,164,143,158,,,135,83,68,93,86,102,125 
Japan,,2042,2079,2041,2102,2194,2070,2186,2322,2306,2324,2468,2362,2577,2595,2702 
Jordan,,,,748,745,738,745,629,,,,,,,, 
Kazakhstan,1148,1157,1129,1381,1479,1480,1544,1542,1336,1341,1281,1146,1125,1043,1112,1050 
Kiribati,,,,,,,,,,,,,,,0,1 
Kuwait,,221,203,204,226,264,312,277,239,264,239,249,231,231,239,201 
Kyrgyzstan,345,290,573,523,483,506,458,481,514,493,447,433,354,327,321,287 
Latvia,,47,44,64,68,64,99,94,93,96,86,88,106,116,121,125 
Lithuania,82,94,79,66,87,102,95,115,123,140,134,142,120,162,160,183 
Luxembourg,,7,11,3,4,9,1,2,6,2,5,8,6,7,7,2 
Macau,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,1040,925,931,923,872,890,961,806,800 
Maldives,,,,,15,24,,11,14,,8,5,2,2,2,78 
Malta,,14,10,17,23,19,21,19,22,12,14,26,23,19,12,8 
Martinique,,,18,,16,7,23,20,12,11,10,9,12,7,11,11 
Mauritius,,55,45,51,61,54,65,60,59,54,80,63,64,68,65,73 
Mayotte,,,10,21,3,,,,,,,,,,, 
Mexico,,9439,9174,9236,9348,9027,8967,8810,8701,9275,9216,9006,8843,9111,9116,9538 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,1,1,8,5,8,7,18,6,12,12 
Montserrat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 
Morocco,,,,551,473,570,512,431,,,,,,,, 
Netherlands,431,430,435,431,471,452,460,441,452,548,527,532,557,523,610,601 
Netherlands Antilles,,,,,,,,,,,,,,,,7 
New Zealand,,,,160,182,179,172,182,186,192,153,179,188,200,167,191 
Nicaragua,,,565,485,501,447,415,369,392,371,409,454,417,390,393,351 
Norway,,118,138,135,126,126,134,133,138,136,128,162,139,141,157,142 
Occupied Palestinian Territory,,200,186,190,185,222,170,155,,,,,,,, 
Oman,,,,,,153,160,,,,,,,,, 
Panama,,380,318,359,284,251,275,294,292,301,271,315,356,342,354,352 
Paraguay,,541,493,478,463,433,389,336,390,396,355,302,264,280,249,235 
Peru,,1274,1250,1104,1030,1088,1087,887,1106,1273,1081,967,1009,839,850,1093 
Philippines,,,,,4803,5189,5199,5259,4819,5008,,,3980,3796,3674,5023 
Poland,,878,918,955,930,976,1021,987,1041,985,1087,1082,1109,1194,1292,1438 
Portugal,,165,160,132,155,135,152,181,169,,,,231,261,252,255 
Puerto Rico,,90,106,145,124,130,82,112,133,120,141,110,141,134,134,172 
Qatar,,67,72,62,59,59,60,60,60,47,39,44,,,46, 
Republic of Korea,,,509,499,501,493,470,526,599,571,605,738,872,974,948,939 
Republic of Moldova,135,155,144,200,176,181,192,214,164,203,208,209,215,227,228,237 
Reunion,,,24,42,39,38,29,27,32,35,30,22,40,23,26, 
Rodrigues,,3,0,5,6,2,2,4,2,4,7,3,,4,2, 
Romania,425,438,500,534,568,625,676,649,757,856,1000,932,1079,1095,1086,1054 
Russian Federation,,,,,5158,5205,5606,5420,5681,5868,6345,6510,6873,6921,7256,7150 
Saint Kitts and Nevis,,,,3,2,0,5,1,3,1,2,2,1,3,2,4 
Saint Lucia,,8,6,10,5,10,10,7,,6,11,10,15,4,4,12 
Saint Pierre and Miquelon,,,,,,0,1,2,,0,1,,,,, 
Saint Vincent and the Grenadines,7,10,6,2,10,7,1,4,8,9,6,7,6,2,8,5 
San Marino,0,,,,,,,,,,0,,,1,,0 
Sao Tome and Principe,,,,,,,,,,,,,,,, 
Saudi Arabia,,,,1244,,,1083,,,,,,,,, 
Serbia,,120,113,98,126,153,141,162,155,170,165,213,186,202,232,239 
Seychelles,,6,2,4,6,3,6,4,6,3,7,3,9,3,7, 
Singapore,51,43,38,46,42,47,52,46,46,60,62,46,53,61,72,75 
Slovakia,,170,178,153,,147,158,140,146,153,157,141,184,189,147,179 
Slovenia,26,,41,41,36,31,33,36,48,34,40,56,51,56,51,49 
South Africa,,2094,1924,2060,1889,1687,1723,1692,1961,1682,1973,1876,1807,1722,1631,1671 
Spain,,828,758,823,920,971,889,924,890,934,962,1002,1029,987,955,1112 
Sri Lanka,,,,,,,,,,1117,,,938,591,913,536 
Suriname,,29,34,25,33,30,32,40,37,28,23,27,25,32,30,24 
Sweden,206,257,250,226,215,216,218,195,243,271,251,264,234,240,245,285 
Switzerland,,,295,254,249,237,235,215,230,265,256,219,265,238,246,273 
Syrian Arab Republic,,,,,,1947,1783,1724,1956,2341,1460,2167,1677,1393,1045,1284 
Tajikistan,,,,,,,,,,,669,657,485,471,268,224 
TFYR Macedonia,,,29,16,22,32,42,51,53,48,47,59,85,56,67,66 
Thailand,,1452,1388,1478,1455,1291,1380,1427,1454,1427,1409,1354,1282,1156,,907 
Trinidad and Tobago,,,,,,81,85,98,81,96,97,81,114,115,83,79 
Tunisia,,,519,,,,401,,,,,,,,, 
Turkey,,,4804,3923,4228,3889,3861,,,,,,,,, 
Turkmenistan,,791,820,895,752,884,493,301,193,138,140,176,154,174,190,175 
Turks and Caicos Islands,,0,1,,,,0,0,0,1,0,0,0,1,0,0 
Ukraine,,1513,,1843,1937,1935,1952,2105,2212,2172,2183,2129,2052,2182,2125,2412 
United Arab Emirates,,,,,,253,314,296,292,235,298,,,,, 
United Kingdom,,,1824,1956,1869,1974,2065,1902,1981,1980,2047,1950,2046,1975,2030,1762 
United States of America,,9609,9583,9636,9702,9674,9856,10288,10424,10489,10410,10498,10518,10687,10442,10578 
Uruguay,,152,181,186,,151,153,174,164,167,207,231,232,219,216,216 
Uzbekistan,,846,607,536,490,484,609,,,,704,718,1076,1115,985,1032 
Venezuela (Bolivarian Republic of),,,2426,2472,2301,2392,2145,2158,2209,2214,2183,2132,2120,2114,2109,2036 
Virgin Islands (USA),,,,2,3,4,1,4,7,2,5,2,3,2,8,5 
Zimbabwe,,,,,,,,,,,,,,,, 
