Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,193,285,278,286,320,301,315,315,310,333,342 
Anguilla,,2,5,2,2,2,4,3,,2,3,4,4,1,3,0 
Antigua and Barbuda,,17,10,20,,,12,17,21,15,20,18,12,24,15,20 
Argentina,,14665,13931,13435,12993,12617,12336,12714,12984,12228,11749,11226,11757,11415,11474,11015 
Armenia,1652,1644,1628,1601,1766,1623,1622,1521,,1561,,,1001,1009,900,783 
Aruba,,34,27,30,35,31,37,20,17,13,17,22,19,23,17,14 
Australia,,5479,5418,5255,5210,5120,5014,4970,4804,4534,,4525,4494,4485,4053,4145 
Austria,,2741,2996,3001,2982,3111,3168,3043,3294,3098,3354,3336,3603,3588,3349,3464 
Azerbaijan,,,,,,,,,3328,,,3040,2834,2774,2590,2624 
Bahamas,,,91,88,96,86,83,79,80,65,73,62,72,63,80,76 
Bahrain,,53,60,52,52,53,68,70,61,58,65,68,96,70,62,72 
Barbados,,,89,83,85,83,94,100,83,92,82,67,83,85,73,94 
Belarus,,3881,4176,,5542,5251,5007,4602,4519,,,,3707,3933,3143,2965 
Belgium,,,4616,4933,4616,4415,4598,4711,4610,4439,4600,4409,4491,4530,4498,4509 
Belize,,87,103,68,79,66,64,78,67,70,55,52,50,55,51,47 
Bermuda,9,8,16,9,8,26,19,13,9,21,17,20,12,20,21,17 
Bolivia,,,,,,,,,,,,,1152,1140,962,901 
Bosnia and Herzegovina,,947,,,867,,,,,,,,,,, 
Brazil,,62768,61941,60495,59692,58053,56196,55190,53717,51920,50082,48654,46881,45785,44380,42995 
British Virgin Islands,,,,,,4,6,2,,3,,2,4,3,3,5 
Brunei Darussalam,,38,41,34,25,33,26,31,22,20,20,30,36,18,17,17 
Bulgaria,,,3629,3553,3263,3279,3268,3561,3493,3196,3312,2905,2759,2865,2942,2974 
Canada,,,,9858,9659,9481,9668,9769,9841,8951,8952,8660,8699,8454,8191,8148 
Cabo Verde,,,,,91,,,,,,,,,,, 
Cayman Islands,,,1,,,4,3,4,5,6,5,6,7,4,6,5 
Chile,,7469,7350,7140,6963,7051,6724,6445,6314,6226,6130,6562,6600,6374,6348,5693 
Colombia,,,9799,10036,9673,10253,9884,9931,9344,9284,8662,8536,8341,8035,7633,7292 
Costa Rica,,1467,1421,1326,1371,1375,1234,1159,1169,1163,1052,1158,1122,1078,1008,1018 
Croatia,2165,2149,2152,2267,2314,2459,2430,2433,2355,2321,2360,2370,2372,2394,2371,2507 
Cuba,,3833,3651,3531,3236,3421,3253,3022,3006,3018,3083,3064,2992,2727,2961,3015 
Cyprus,,,204,156,189,176,141,150,156,182,174,180,,,,59 
Czech Republic,4659,4474,4607,4491,4531,4664,4809,4743,4747,4730,4823,4537,4607,4435,4418,4239 
Denmark,,2169,2159,2243,2444,2710,2721,2744,2667,2925,2868,2760,2743,2832,2800,2800 
Dominica,,14,22,12,27,23,28,12,30,17,23,17,23,20,26,13 
Dominican Republic,,,,1273,1091,1120,991,920,915,1095,1367,1539,1366,1251,1241,1157 
Ecuador,,3941,3822,3846,3710,3679,3438,3271,3260,3326,3238,3044,2787,2758,2900,2857 
Egypt,,58490,56416,59240,59179,55828,52231,46661,44546,43833,43303,42441,42683,39598,33460,30852 
El Salvador,,,1691,1660,1701,1467,1458,1457,1492,1535,1522,1471,1553,1482,1461,1649 
Estonia,,584,570,543,552,614,634,725,725,667,690,648,642,673,664,636 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,157,146,,156,149,123,146,103,78,88,88,129, 
Finland,,2429,2454,2400,2438,2460,2600,2460,2637,2409,2466,2331,2011,2036,2010,2048 
France,,,22445,22692,22493,23473,23499,23544,22966,23088,23177,22903,24548,24087,24167,23709 
French Guiana,,,36,27,33,36,21,41,33,17,23,23,19,22,20, 
Georgia,,1345,1295,1189,1446,776,1189,,1070,1147,1201,1704,,,1264,1354 
Germany,,38537,40112,40094,40507,42684,42288,43686,42163,42973,42787,42213,42263,41849,40918,40712 
Greece,,,3049,2918,2772,2576,2585,2534,2554,2542,2452,2358,2470,2502,2416,2618 
Grenada,38,37,36,43,23,28,32,33,35,24,37,34,42,44,33, 
Guadeloupe,,,133,110,125,132,89,124,136,125,131,128,128,129,139,132 
Guatemala,,6048,5404,5372,5274,5243,5056,4315,4461,4538,4648,4510,4636,4233,4132,4105 
Guyana,,,,309,314,347,227,297,241,294,285,303,258,237,219, 
Haiti,,,,,,,,,,,,62,227,208,237, 
Honduras,,,482,419,415,391,367,351,,,,,,,, 
Hong Kong SAR,,,1390,1533,1483,1497,1528,1581,1570,1475,1423,1336,1349,1226,1301,1433 
Hungary,,6390,6390,6819,7306,7739,8217,8468,8814,8638,8505,9144,9445,9189,9548,10047 
Iceland,79,56,72,61,50,60,63,58,51,52,58,52,64,47,47,51 
Iraq,,,,,,,,1217,,,,,,,, 
Ireland,,,1069,1158,1048,1065,1156,1129,1162,1037,1033,1008,1002,1025,1047,1050 
Israel,,1404,1450,1474,1507,1357,1408,1249,1397,1362,1294,1292,1224,1284,1201,1253 
Italy,,,,23416,22921,23808,23705,23578,23203,23134,,,24008,24719,25073,25039 
Jamaica,,,,,433,445,397,,,401,386,381,398,368,388,411 
Japan,,47979,47611,47255,46755,45503,44172,43802,43066,42429,41802,40241,39264,38452,38556,38268 
Jordan,,,,523,487,430,423,445,,,,,,,, 
Kazakhstan,13023,13499,13572,9925,9216,7808,7194,7518,7831,7631,7478,7199,6907,6275,6025,5631 
Kiribati,,,,,,,,,,,,,,,59,76 
Kuwait,,126,153,160,129,155,145,139,129,143,136,124,88,111,110,103 
Kyrgyzstan,2294,2337,2468,2448,2426,2461,2384,2586,2658,2586,2291,2190,2103,2098,1875,1901 
Latvia,,989,1054,961,987,1046,1044,1110,1291,1108,1082,1038,1063,1009,1061,1000 
Lithuania,2098,2091,2234,2064,2058,2217,2223,2544,2725,2341,1885,1632,1609,1510,1436,1273 
Luxembourg,,171,149,177,167,164,176,161,169,183,150,176,165,163,195,203 
Macau,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,2853,2550,2382,2393,2319,2211,2247,2021,1989 
Maldives,,,,,24,28,,33,30,,15,9,11,22,6,244 
Malta,,114,101,112,99,93,109,118,101,140,123,129,125,106,92,96 
Martinique,,,123,,104,107,117,90,127,120,122,99,109,104,118,111 
Mauritius,,342,348,341,355,398,442,445,429,483,388,449,421,415,453,424 
Mayotte,,,6,5,0,,,,,,,,,,, 
Mexico,,57919,57665,56359,54800,53911,52188,51350,48705,47272,47635,45636,45527,44208,42716,42200 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,140,134,134,136,127,124,138,138,105,114 
Montserrat,0,2,0,1,4,0,1,0,1,1,2,3,0,4,3,2 
Morocco,,,,1215,1042,1419,1438,1188,,,,,,,, 
Netherlands,4537,4374,4486,5260,5130,5266,5146,5401,5396,5429,5384,5604,5856,5574,5358,5337 
Netherlands Antilles,,,,,,,,,,,,,,,,37 
New Zealand,,,,911,940,858,934,859,803,816,685,789,705,850,740,721 
Nicaragua,,,1699,1539,1430,1440,1290,1229,1137,1134,1150,1201,1020,986,936,843 
Norway,,1210,1205,1318,1282,1262,1292,1286,1230,1272,1234,1391,1304,1364,1370,1420 
Occupied Palestinian Territory,,166,166,157,162,145,152,156,,,,,,,, 
Oman,,,,,,161,139,,,,,,,,, 
Panama,,771,739,780,711,705,685,613,608,588,538,538,558,506,467,427 
Paraguay,,1207,1117,1101,1181,1133,967,992,884,893,780,767,642,619,667,646 
Peru,,6299,6514,6819,6838,7343,7157,6271,6627,6544,6641,7057,6911,6013,6370,5783 
Philippines,,,,,20797,20594,21412,21416,21051,21202,,,19824,19493,18359,17258 
Poland,,15398,16548,16563,16434,16235,16791,17079,16755,16291,16526,15658,14923,14772,14556,14653 
Portugal,,4604,4583,4541,4555,4641,4639,4583,4550,,,,4612,4579,4469,4141 
Puerto Rico,,1274,1189,1257,1308,1053,1145,1328,1411,1381,1468,1509,1477,1499,1503,1556 
Qatar,,60,58,46,53,53,49,47,50,48,36,24,,,27, 
