Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,756,891,987,964,973,1214,1215,1222,1248,1281,1416 
Anguilla,,6,9,10,4,2,8,10,,8,3,4,5,7,3,4 
Antigua and Barbuda,,32,33,27,,,33,45,37,29,24,25,23,25,38,23 
Argentina,,20207,20671,20039,19529,18640,18404,19647,19461,19091,18436,18019,18863,19660,19895,19355 
Armenia,1355,1239,1281,1360,1363,1249,1222,1321,,1323,,,1039,1071,1101,1102 
Aruba,,32,44,51,45,63,46,49,44,45,56,40,43,49,48,48 
Australia,,10062,9163,9338,9209,8981,9071,8900,8232,8102,,7970,7673,7786,7808,8173 
Austria,,4264,4303,4442,4213,4200,4293,4217,4217,4211,4439,4166,4261,4317,4227,4399 
Azerbaijan,,,,,,,,,2265,,,1964,2109,1869,1978,2097 
Bahamas,,,257,235,260,233,224,211,214,185,206,161,158,169,161,217 
Bahrain,,206,227,219,166,181,218,226,225,272,205,199,182,178,184,310 
Barbados,,,113,115,131,120,126,82,118,90,83,101,110,91,55,101 
Belarus,,9684,10456,,13498,14281,13896,14333,14359,,,,16513,17096,16639,15813 
Belgium,,,6831,7047,6804,6651,6749,6644,6420,6324,6460,6247,6399,6558,6856,6839 
Belize,,285,266,262,256,262,223,265,228,242,264,224,222,252,264,210 
Bermuda,19,25,20,20,26,32,15,27,21,28,44,20,25,16,26,25 
Bolivia,,,,,,,,,,,,,2581,2861,2261,2358 
Bosnia and Herzegovina,,1049,,,1176,,,,,,,,,,, 
Brazil,,156907,151646,152084,146034,143440,138891,135637,131234,128591,127563,127400,126591,126430,120854,118285 
British Virgin Islands,,,,,,18,13,11,,9,,19,15,12,10,8 
Brunei Darussalam,,82,95,98,103,62,78,79,106,82,82,77,73,78,93,85 
Bulgaria,,,2765,3058,2820,3036,3416,3899,3797,3914,3931,3880,4039,4243,4371,4653 
Canada,,,,16644,15802,16258,15637,15447,14949,14523,14739,13941,14101,13835,13267,13249 
Cabo Verde,,,,,289,,,,,,,,,,, 
Cayman Islands,,,16,,,23,12,21,22,24,12,19,9,16,11,14 
Chile,,7746,7616,7561,8027,8386,8151,7961,7657,7847,7518,7508,7407,7319,7623,7754 
Colombia,,,29512,30746,31308,33597,35361,33117,32469,34321,34518,38438,39366,48320,47109,45945 
Costa Rica,,2193,2013,2119,2160,2259,1979,2073,1927,2147,1891,1983,1935,1851,1768,1817 
Croatia,2888,2750,2758,2951,2767,2968,2987,3035,2953,2753,2878,2870,2859,2707,2742,2905 
Cuba,,7717,7549,7275,7010,7161,7162,6818,6450,6453,7047,6880,6781,6952,7322,7655 
Cyprus,,,290,270,251,293,313,314,330,294,410,318,,,,143 
Czech Republic,5812,5714,5598,5856,5973,6009,5946,6121,6131,5893,6376,6991,7295,6838,6910,7070 
Denmark,,2039,2051,2092,2160,2059,2213,2438,2503,2672,2589,2435,2547,2596,3078,3356 
Dominica,,34,45,32,33,56,19,16,24,28,16,23,26,26,17,14 
Dominican Republic,,,,4560,3776,4167,3606,3758,3536,3800,4113,4131,4012,3590,3364,3118 
Ecuador,,8273,8533,9096,9683,9871,9677,9536,8610,8610,8517,7769,7456,7735,7811,8085 
Egypt,,21375,21337,18735,21027,19237,17969,18211,17569,17105,16124,16210,18618,17778,17066,16709 
El Salvador,,,4426,4579,6020,5757,6544,5668,6082,6348,6059,5503,4973,4683,5699,5051 
Estonia,,975,1003,1179,1134,1135,1284,1358,1612,1628,1659,1766,1837,2009,2330,2092 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,355,313,,310,397,352,346,361,346,342,347,292, 
Finland,,3477,3605,3683,3866,4000,4150,4277,4245,4337,4295,4353,4125,4077,4166,4128 
France,,,35909,36900,37229,37805,37661,37038,36645,36867,37808,37431,41674,40888,41066,41436 
French Guiana,,,94,127,115,117,127,130,118,135,155,137,133,118,69, 
Georgia,,1934,1539,1715,1379,1045,1651,,1354,1266,1238,1910,,,1265,1237 
Germany,,34667,34133,32931,32988,33312,31832,31511,30650,32280,33024,33309,34606,34296,34201,34523 
Greece,,,3473,3466,3460,3554,3868,3849,4143,3881,4244,4147,4041,3993,4400,4496 
Grenada,59,36,47,43,44,42,51,50,34,50,57,62,40,43,28, 
Guadeloupe,,,220,258,253,261,260,244,242,260,239,227,236,261,264,305 
Guatemala,,12102,12357,12322,12599,13022,13439,12402,11589,12414,11505,9772,9382,8885,8599,8718 
Guyana,,,,764,766,744,649,638,699,755,697,670,718,659,585, 
Haiti,,,,,,,,,,,,139,504,506,519, 
Honduras,,,571,553,618,596,527,392,,,,,,,, 
Hong Kong SAR,,,1860,1654,1567,1864,1938,1766,1855,1961,2150,2243,2044,2068,1844,1906 
Hungary,,5888,6124,6519,6719,7073,7187,7366,7438,7596,7990,9097,9435,9513,9455,9541 
Iceland,136,122,146,121,116,137,118,125,119,145,104,104,102,112,131,133 
Iraq,,,,,,,,18359,,,,,,,, 
Ireland,,,1491,1577,1693,1601,1894,1721,1759,1480,1579,1420,1457,1603,1648,1578 
Israel,,1751,1753,1801,1919,1981,1927,2036,1898,1960,2109,2129,2175,2435,2271,2111 
Italy,,,,23775,23693,24031,24642,24325,24459,24407,,,25684,26693,26727,26100 
Jamaica,,,,,2053,705,2668,,,605,2600,369,345,339,429,417 
Japan,,69549,71767,73469,94114,75965,73598,73523,73826,73112,75380,73425,75638,73327,73131,73805 
Jordan,,,,1645,1462,1540,1471,1425,,,,,,,, 
Kazakhstan,14468,15136,16511,16497,16990,17746,17258,19693,22488,23005,22403,22128,21326,20693,21614,20921 
Kiribati,,,,,,,,,,,,,,,14,16 
Kuwait,,914,822,895,740,692,856,852,882,848,832,897,728,644,658,659 
Kyrgyzstan,3108,3107,3156,3475,3617,3954,3468,3789,3730,3831,3682,3601,3665,3447,3261,3434 
Latvia,,1870,1803,1889,1840,2108,2158,2453,2850,3240,3216,3181,3373,3666,3703,3773 
Lithuania,3207,3338,3615,3659,3720,4045,4168,4785,5246,5340,5549,5077,5241,5280,5498,5102 
Luxembourg,,240,258,243,256,257,232,210,245,235,187,207,237,257,256,256 
Macau,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,8809,8261,8190,7999,8250,8132,7308,7021,7462 
Maldives,,,,,44,53,,44,49,,663,413,83,113,110,61 
Malta,,107,106,113,98,119,134,136,141,115,117,125,139,125,132,105 
Martinique,,,162,,170,166,136,188,187,218,190,167,205,182,199,221 
Mauritius,,523,489,491,584,555,532,529,528,514,501,525,464,524,484,491 
Mayotte,,,27,41,0,,,,,,,,,,, 
Mexico,,63762,66231,70458,72175,69836,64549,59655,52762,53995,52501,50692,51643,51658,51130,52102 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,232,231,233,293,232,214,233,238,297,245 
Montserrat,2,3,3,1,4,2,1,4,0,4,5,0,1,1,1,2 
Morocco,,,,3941,3804,3617,3958,3730,,,,,,,, 
Netherlands,7241,6813,6443,6337,5855,5749,5618,5426,5211,5360,5343,5226,5404,5318,5444,5169 
Netherlands Antilles,,,,,,,,,,,,,,,,62 
New Zealand,,,,1915,2026,1952,1918,1919,1835,1744,1710,1717,1803,1698,1651,1614 
Nicaragua,,,2138,2305,2227,1988,2317,2305,2234,1832,2213,2037,2068,2003,2071,1890 
Norway,,2575,2560,2424,2607,2527,2596,2455,2386,2403,2410,2555,2462,2287,2289,2368 
Occupied Palestinian Territory,,336,384,330,320,370,310,290,,,,,,,, 
Oman,,,,,,684,773,,,,,,,,, 
Panama,,1784,1735,1897,1903,1960,1979,1839,1615,1706,1443,1382,1492,1434,1348,1347 
Paraguay,,3121,3028,2917,2918,3015,3099,2792,2544,2561,2345,2556,2322,2105,2108,2039 
Peru,,10118,11552,10378,8703,8634,8801,8965,9782,8506,11286,8108,8579,7394,7638,8968 
Philippines,,,,,36437,36646,36267,35522,34382,36531,,,33966,33617,32856,32355 
Poland,,21400,22453,23580,23784,23828,24297,25363,24751,25193,25363,24966,24811,25388,25043,25763 
Portugal,,4818,4227,3955,4108,4527,4477,4554,4461,,,,5630,5741,5168,4769 
Puerto Rico,,1927,2187,2255,2481,2306,2301,2240,2227,2214,2212,2162,2072,2110,2364,2387 
Qatar,,468,440,383,381,402,435,435,440,474,330,283,,,207, 
Republic of Korea,,,31015,31153,32445,32644,32661,30475,30137,29504,30864,30476,31456,28762,28632,28799 
Republic of Moldova,2742,3035,2839,3085,3071,3692,3460,3548,3647,3766,3896,3661,3726,3564,3572,3380 
Reunion,,,322,326,325,339,363,335,342,372,354,298,363,394,371, 
Rodrigues,,18,7,16,11,18,12,11,12,14,15,9,,10,14, 
Romania,9839,10083,10224,10768,10748,12379,12501,13133,12593,13084,13041,13462,14123,14509,14270,14412 
Russian Federation,,,,,199358,216867,224576,244463,259412,282785,315915,327123,335173,339296,331634,318716 
Saint Kitts and Nevis,,,,36,43,41,44,42,44,38,33,27,26,24,15,16 
Saint Lucia,,114,119,103,120,98,113,57,,72,94,95,88,104,79,97 
