Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,191,228,257,250,257,282,251,259,280,327,284 
Anguilla,,0,0,1,1,0,1,1,,0,2,2,1,1,5,4 
Antigua and Barbuda,,13,5,16,,,12,5,7,13,11,9,8,2,8,15 
Argentina,,11750,11067,10441,9423,9627,8987,8533,9598,8627,8307,8378,8370,7762,7113,6972 
Armenia,841,911,936,805,782,797,717,531,,424,,,431,392,390,383 
Aruba,,19,21,14,22,9,10,11,6,10,11,14,9,9,8,29 
Australia,,3242,3108,3817,3476,3400,3409,3333,3331,3299,,2974,2980,2977,2846,2671 
Austria,,1448,1415,1483,1319,1279,1106,1141,1043,1064,1039,1187,1098,1008,974,862 
Azerbaijan,,,,,,,,,1172,,,1049,897,725,790,909 
Bahamas,,,58,50,48,53,32,49,25,29,24,29,41,40,25,36 
Bahrain,,56,79,120,144,113,138,129,104,81,91,84,76,51,54,53 
Barbados,,,93,100,92,96,89,52,100,89,92,134,153,96,62,79 
Belarus,,664,724,,878,972,939,967,1056,,,,1084,1188,1141,1116 
Belgium,,,2633,2506,2540,2427,2280,2150,2000,2051,1685,1511,1580,1529,1470,1431 
Belize,,39,39,38,36,48,38,35,36,31,32,38,38,31,30,29 
Bermuda,8,10,10,6,10,16,11,9,5,11,13,9,16,12,18,12 
Bolivia,,,,,,,,,,,,,548,585,469,417 
Bosnia and Herzegovina,,532,,,550,,,,,,,,,,, 
Brazil,,32490,29702,27973,26311,24519,22487,19817,18294,17420,18360,17093,15855,15165,14345,13364 
British Virgin Islands,,,,,,1,1,0,,0,,2,0,1,1,1 
Brunei Darussalam,,40,30,24,24,38,32,46,47,52,40,28,32,35,42,59 
Bulgaria,,,1289,1350,1165,1177,1239,1354,1320,1187,1193,927,926,900,1029,1068 
Canada,,,,5072,5011,5581,5182,5289,5630,5255,5200,4879,4682,4529,4320,4137 
Cabo Verde,,,,,40,,,,,,,,,,, 
Cayman Islands,,,5,,,4,2,7,4,6,5,4,5,2,5,1 
