Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,37,29,58,64,90,83,103,105,100,99,75 
Anguilla,,1,0,3,2,1,0,3,,0,0,0,1,9,5,3 
Antigua and Barbuda,,38,27,35,,,18,22,21,39,20,16,12,19,33,26 
Argentina,,14340,14160,13490,14039,14151,13605,13482,14534,14696,14003,13329,13658,13504,13827,13004 
Armenia,308,280,249,286,251,304,278,277,,271,,,235,251,239,287 
Aruba,,16,32,22,30,23,34,24,20,21,18,20,12,26,27,12 
Australia,,2730,2681,2394,2400,2150,1826,1969,1857,1969,,1801,1742,1776,1699,1658 
Austria,,712,736,664,678,648,667,649,564,545,635,538,579,490,297,308 
Azerbaijan,,,,,,,,,419,,,1124,1302,1402,1532,1574 
Bahamas,,,189,164,177,147,173,159,189,224,201,202,210,267,280,279 
Bahrain,,61,49,62,78,75,85,72,69,85,94,77,82,68,50,86 
Barbados,,,137,111,120,91,135,97,106,132,178,182,119,131,98,143 
Belarus,,893,965,,1227,1191,1175,1143,1262,,,,1304,1251,1064,952 
Belgium,,,2875,2587,2391,2506,2464,2293,2222,2299,2557,2649,2721,2430,2233,2062 
Belize,,134,160,143,138,161,155,107,131,125,128,132,129,121,73,84 
Bermuda,13,7,12,8,9,9,22,17,9,8,6,12,17,13,10,9 
Bolivia,,,,,,,,,,,,,1074,1264,848,961 
Bosnia and Herzegovina,,294,,,299,,,,,,,,,,, 
Brazil,,52146,52044,49597,49162,48814,47003,47220,45937,46500,46600,46049,46470,45090,44934,44465 
British Virgin Islands,,,,,,4,10,2,,1,,4,2,1,0,6 
Brunei Darussalam,,85,75,56,58,64,89,47,47,30,34,40,18,25,30,40 
Bulgaria,,,518,626,520,602,587,639,710,624,650,619,639,604,688,724 
Canada,,,,5780,5574,5316,5009,4704,4657,4229,4154,3993,3577,3272,3044,3112 
Cabo Verde,,,,,190,,,,,,,,,,, 
Cayman Islands,,,5,,,4,5,4,6,5,8,1,3,0,3,0 
Chile,,2599,2494,2167,1885,1944,1829,1644,1703,1753,1767,1824,1807,1834,1999,2030 
Colombia,,,6332,6075,5790,6158,6211,6635,7085,6751,7050,7352,7257,7211,7243,7017 
Costa Rica,,391,380,365,370,383,336,309,325,391,385,394,410,390,441,417 
Croatia,385,347,311,291,273,337,363,327,407,379,316,373,474,558,517,518 
Cuba,,1204,1128,988,873,895,749,766,793,812,889,748,735,725,773,745 
Cyprus,,,90,87,82,59,71,68,65,35,54,46,,,,40 
Czech Republic,1978,1737,1539,1617,1358,1029,1122,931,689,457,411,328,306,320,303,268 
Denmark,,882,979,876,780,915,823,725,871,799,719,812,846,732,388,374 
Dominica,,29,26,22,19,12,19,16,17,11,28,19,24,21,19,8 
Dominican Republic,,,,1864,1536,1425,1214,1194,1209,1408,2004,2297,2303,1975,2010,1942 
Ecuador,,2017,1941,2332,2310,2538,2515,2654,2697,2786,2741,2659,2895,3162,3226,3381 
Egypt,,18365,17009,18300,18278,16445,15695,15503,14657,14046,14637,14566,16593,18505,19958,20517 
El Salvador,,,1393,1225,1105,1180,1189,1132,1218,1349,1471,1653,2104,1871,1854,1984 
Estonia,,127,115,127,130,119,148,122,140,149,108,152,153,123,145,147 
