Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,3,2,3,2,2,8,13,7,20,14,5 
Anguilla,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0 
Antigua and Barbuda,,1,2,1,,,0,0,1,3,0,0,0,1,0,0 
Argentina,,437,410,401,419,407,373,369,345,403,346,365,482,550,430,427 
Armenia,9,13,15,11,17,14,14,14,,18,,,21,23,41,59 
Aruba,,1,1,1,0,1,2,0,1,1,0,2,0,1,2,1 
Australia,,274,277,153,134,94,81,68,89,88,,71,48,59,42,35 
Austria,,82,93,93,59,56,65,67,68,49,28,24,28,19,7,6 
Azerbaijan,,,,,,,,,34,,,150,141,212,218,225 
Bahamas,,,3,2,5,5,2,0,2,2,2,2,3,4,1,2 
Bahrain,,3,2,2,3,6,7,7,7,4,4,5,9,4,5,4 
Barbados,,,4,6,4,7,6,1,6,1,2,3,2,2,1,5 
Belarus,,7,6,,4,3,2,1,3,,,,17,16,34,25 
Belgium,,,387,217,362,407,411,312,232,294,323,303,193,151,102,98 
Belize,,3,5,7,7,11,14,12,11,18,20,12,7,9,8,13 
Bermuda,0,0,0,4,4,0,1,1,2,0,1,0,0,0,0,0 
Bolivia,,,,,,,,,,,,,153,196,155,226 
Bosnia and Herzegovina,,13,,,3,,,,,,,,,,, 
Brazil,,4308,4814,4221,4027,4609,4638,5105,5040,6010,5564,5406,5975,5725,5942,6130 
British Virgin Islands,,,,,,0,0,0,,0,,1,0,0,0,0 
Brunei Darussalam,,3,1,1,0,1,1,0,2,0,1,1,0,3,1,1 
Bulgaria,,,25,20,16,22,18,21,24,28,22,17,19,32,13,42 
Canada,,,,1709,1734,1648,1384,1105,1174,930,970,1028,584,365,301,250 
Cabo Verde,,,,,23,,,,,,,,,,, 
Cayman Islands,,,0,,,0,0,0,0,1,0,0,0,0,0,0 
Chile,,460,351,277,238,237,218,211,160,189,201,219,240,216,225,237 
Colombia,,,581,568,574,716,808,870,1153,1064,1134,1329,1539,1502,1276,1611 
Costa Rica,,113,100,82,64,78,90,46,71,65,91,109,104,99,110,103 
Croatia,41,43,21,20,26,22,12,17,11,20,20,15,9,10,9,14 
Cuba,,318,351,287,257,265,201,207,205,239,332,235,227,253,266,264 
Cyprus,,,18,17,25,8,16,3,5,2,4,1,,,,0 
Czech Republic,285,263,247,356,286,139,75,69,49,16,14,11,9,12,13,9 
Denmark,,203,218,224,243,226,203,126,143,147,109,127,121,137,72,65 
Dominica,,4,7,2,0,0,0,0,1,0,1,0,0,0,0,0 
Dominican Republic,,,,171,231,133,110,112,92,129,214,282,277,201,233,284 
Ecuador,,137,163,230,242,248,366,334,431,483,450,515,635,699,837,875 
