Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,61,48,51,56,120,117,107,82,79,108,65 
Anguilla,,0,0,1,1,3,1,0,,0,1,0,2,0,0,0 
Antigua and Barbuda,,3,4,3,,,1,2,0,2,2,3,1,1,2,5 
Argentina,,2642,2657,2551,2502,2433,2476,2501,2581,2187,2161,2451,2684,2159,2000,2110 
Armenia,14,5,6,7,7,2,4,8,,14,,,21,69,72,65 
Aruba,,5,3,6,8,9,5,0,2,7,5,7,5,0,8,9 
Australia,,9003,8198,8113,7641,7030,6518,6377,5691,5134,,3406,3238,3157,2696,3077 
Austria,,1526,1616,1231,941,855,889,825,677,648,690,649,562,424,456,395 
Azerbaijan,,,,,,,,,28,,,35,113,82,79,115 
Bahamas,,,7,16,22,9,18,6,12,7,14,13,10,9,5,11 
Bahrain,,16,13,9,12,13,3,3,6,8,8,5,1,2,5,6 
Barbados,,,51,58,52,56,31,17,16,18,14,12,8,7,2,19 
Belarus,,1714,1498,,1962,1395,975,805,676,,,,690,810,614,467 
Belgium,,,4898,4617,3867,3761,3937,3797,3431,3343,3120,3092,3320,3202,3175,2984 
Belize,,8,8,10,11,7,7,3,1,2,3,4,8,1,2,0 
Bermuda,3,4,2,8,6,0,1,0,1,2,3,3,4,0,1,0 
Bolivia,,,,,,,,,,,,,153,91,149,159 
Bosnia and Herzegovina,,195,,,151,,,,,,,,,,, 
Brazil,,12305,12910,12416,13376,12463,11528,11412,10637,9937,8926,8155,7355,7010,6655,6133 
British Virgin Islands,,,,,,0,1,1,,0,,2,4,0,2,2 
Brunei Darussalam,,6,12,6,6,4,2,1,4,1,2,3,3,2,2,2 
Bulgaria,,,82,87,77,89,77,90,76,118,121,180,189,185,228,250 
Canada,,,,14978,13947,12730,11871,11527,10301,9793,7750,6840,6622,6547,6244,5991 
Cabo Verde,,,,,115,,,,,,,,,,, 
Cayman Islands,,,1,,,0,0,0,0,0,0,1,1,1,0,0 
Chile,,1836,2064,2568,2224,2584,2574,2586,2698,2332,2570,2600,2653,2509,2206,1332 
Colombia,,,233,169,139,165,123,83,50,45,62,55,105,99,61,61 
Costa Rica,,279,306,274,225,188,170,186,172,159,118,137,95,88,71,80 
Croatia,1342,1188,1153,1229,1046,1001,834,771,777,651,679,574,422,471,559,648 
Cuba,,4974,4280,3925,3742,4007,3829,3402,2856,2602,2871,2557,2314,2052,2066,2023 
Cyprus,,,94,90,81,68,56,64,67,57,41,29,,,,3 
Czech Republic,1491,1210,1186,962,936,222,160,201,165,187,284,181,164,111,114,110 
Denmark,,3115,3200,3102,3006,3104,3075,3061,2863,2719,2535,2193,2047,2247,1819,1592 
