Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,2022,2620,2724,2457,2809,2768,2907,2986,2693,2398,2664 
Anguilla,,11,18,16,13,17,15,15,,11,20,11,13,10,4,9 
Antigua and Barbuda,,133,90,103,,,70,92,94,67,70,103,81,80,72,87 
Argentina,,63025,62207,61456,60144,60455,59679,59125,59813,59142,58940,57726,57341,56057,55769,55490 
Armenia,6103,5701,5608,5625,5574,5516,5413,5505,,5188,,,4369,4242,4136,3967 
Aruba,,165,128,149,140,156,140,144,158,126,118,126,141,132,102,59 
Australia,,44734,44673,43511,43737,43316,41965,42423,40331,39770,,38883,38266,38269,37459,36567 
Austria,,21160,20776,21032,20702,20379,20295,20421,19520,19619,19674,19755,19691,19106,18906,19112 
Azerbaijan,,,,,,,,,5032,,,6107,6297,5859,5455,5081 
Bahamas,,,411,382,398,388,370,359,319,293,291,281,318,293,287,224 
Bahrain,,292,237,256,247,239,218,256,240,254,267,260,271,278,243,246 
Barbados,,,558,516,544,535,545,516,441,483,523,488,505,446,384,461 
Belarus,,17327,17320,,18130,18443,18173,18410,18171,,,,18724,19346,19601,19572 
Belgium,,,28730,28417,28360,28312,27973,28114,27556,27049,27210,26698,26944,27421,27050,27054 
Belize,,186,202,202,165,178,167,163,183,167,168,163,129,141,160,137 
Bermuda,130,148,136,127,101,134,140,109,104,106,113,98,134,122,124,142 
Bolivia,,,,,,,,,,,,,1512,1541,1048,1106 
Bosnia and Herzegovina,,7821,,,7214,,,,,,,,,,, 
Brazil,,201944,196954,191587,184387,178994,172247,167324,161476,155779,147412,140789,134683,129912,125324,120471 
British Virgin Islands,,,,,,16,23,23,,15,,28,24,16,21,22 
Brunei Darussalam,,315,309,294,268,259,219,204,217,223,220,219,157,180,173,189 
Bulgaria,,,18274,18299,16955,16672,17157,18179,17992,17710,17937,16266,15790,15839,15513,15343 
Canada,,,,75834,73912,73239,72584,71948,71024,69222,68790,68322,67423,66591,65205,64111 
Cabo Verde,,,,,338,,,,,,,,,,, 
Cayman Islands,,,49,,,32,44,45,30,51,36,39,32,18,38,41 
