Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,4,2,1,3,13,8,5,9,6,9,4 
Anguilla,,0,0,0,0,1,0,0,,1,1,1,0,0,0,0 
Antigua and Barbuda,,9,0,6,,,2,5,6,8,6,1,2,5,0,1 
Argentina,,1840,1625,1549,1316,1298,1266,1200,1064,1067,1160,1322,1253,829,583,502 
Armenia,18,25,11,19,6,15,16,7,,10,,,5,11,7,8 
Aruba,,4,2,5,3,5,6,7,6,4,1,5,7,8,11,9 
Australia,,479,435,398,443,398,386,399,364,333,,333,307,336,269,244 
Austria,,53,58,71,56,62,60,64,78,50,49,36,33,47,27,27 
Azerbaijan,,,,,,,,,8,,,15,7,9,4,0 
Bahamas,,,15,18,18,18,22,14,22,17,29,14,9,16,20,12 
Bahrain,,13,10,24,24,26,21,20,23,22,49,41,45,30,42,39 
Barbados,,,56,30,45,32,50,48,69,61,65,47,64,57,29,60 
Belarus,,76,71,,78,96,77,80,62,,,,45,48,53,69 
Belgium,,,278,259,266,273,311,282,286,317,368,393,448,425,406,452 
Belize,,3,5,14,4,8,2,1,3,5,4,2,4,2,1,4 
Bermuda,1,0,1,2,2,1,2,2,1,3,2,1,2,3,0,1 
Bolivia,,,,,,,,,,,,,15,6,13,18 
Bosnia and Herzegovina,,31,,,12,,,,,,,,,,, 
Brazil,,4298,3918,3721,3395,3225,2979,2643,2474,2465,2012,1885,1976,1932,1824,1652 
British Virgin Islands,,,,,,0,0,1,,0,,0,0,1,0,0 
Brunei Darussalam,,11,13,7,3,6,1,1,1,1,1,2,0,0,2,0 
Bulgaria,,,43,32,22,32,27,24,35,37,52,27,24,25,32,29 
Canada,,,,414,422,412,324,348,346,300,317,330,326,314,327,308 
Cabo Verde,,,,,9,,,,,,,,,,, 
Cayman Islands,,,1,,,3,0,1,0,1,0,1,2,1,0,0 
Chile,,332,251,199,173,302,232,269,247,260,291,259,245,263,252,373 
Colombia,,,1093,1024,1136,1169,1133,1065,1060,1054,926,770,724,770,772,559 
Costa Rica,,93,85,68,76,80,71,52,75,63,57,79,60,42,51,52 
Croatia,8,5,11,8,15,16,13,22,27,19,31,10,15,13,8,4 
Cuba,,196,193,189,190,153,159,176,157,134,148,135,138,116,165,144 
Cyprus,,,26,30,34,26,29,29,31,17,29,24,,,,2 
Czech Republic,179,173,137,177,170,98,75,81,49,40,30,11,15,9,19,15 
Denmark,,51,55,63,62,63,64,70,51,73,92,74,69,70,56,55 
Dominica,,14,6,7,13,12,12,9,5,11,8,8,5,5,5,6 
Dominican Republic,,,,7,4,14,16,17,12,13,10,22,22,29,22,15 
Ecuador,,122,95,30,49,35,29,21,8,21,13,12,22,31,38,25 
Egypt,,407,340,386,354,273,275,233,218,237,191,156,193,138,162,171 
El Salvador,,,95,126,111,70,54,55,59,70,76,77,41,41,40,73 
Estonia,,11,15,7,9,17,6,15,16,21,16,18,9,17,15,18 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,44,37,,5,9,9,5,4,4,8,10,18, 
Finland,,27,22,27,32,28,41,36,27,34,34,27,28,19,29,31 
