Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Albania,,,,,,12139,15662,16143,14528,16935,17427,17748,17965,16248,15143,16411 
Anguilla,,59,78,68,61,65,70,64,,55,56,48,70,57,52,72 
Antigua and Barbuda,,580,466,493,,,372,528,484,474,489,511,451,444,462,404 
Argentina,,322035,323327,317144,316715,316298,301868,299677,313772,292313,293161,293859,301870,291190,285941,277148 
Armenia,27878,27714,27196,27600,27963,27921,27560,27412,,27202,,,26014,25554,24003,24025 
Aruba,,642,573,613,630,625,612,565,536,530,491,510,506,513,469,520 
Australia,,153580,147678,147098,146932,143473,140760,143946,137854,133739,,132314,131784,133047,128657,128784 
Austria,,78252,79526,79436,76479,77199,77381,75083,74625,74295,75189,74292,77209,76131,74767,76780 
Azerbaijan,,,,,,,,,50439,,,49568,49379,46526,45284,46701 
Bahamas,,,2065,1993,2117,2023,2021,1862,1798,1730,1824,1655,1649,1827,1745,1625 
Bahrain,,2695,2569,2613,2527,2401,2387,2390,2270,2317,2215,2208,2107,2035,1979,2033 
Barbados,,,2489,2326,2434,2265,2363,2412,2362,2326,2503,2306,2648,2240,1712,2429 
Belarus,,121542,125326,,135090,137132,135097,133879,132993,,,,143203,146658,140299,134867 
Belgium,,,109334,109076,104292,105152,103816,103760,101384,100102,102934,101256,106209,105288,102992,104825 
Belize,,1587,1611,1536,1555,1557,1453,1301,1386,1395,1369,1298,1277,1284,1261,1534 
Bermuda,466,484,473,424,386,460,438,420,447,453,464,416,439,418,447,500 
Bolivia,,,,,,,,,,,,,22472,24279,20305,21609 
Bosnia and Herzegovina,,35980,,,35028,,,,,,,,,,, 
Brazil,,1227039,1210474,1181166,1170498,1136946,1103088,1075141,1047827,1031696,1006827,1024069,1002312,982794,961482,946391 
British Virgin Islands,,,,,,104,109,101,,79,,119,104,95,97,94 
Brunei Darussalam,,1470,1400,1216,1235,1208,1171,1091,1174,1095,1072,1009,1010,1041,1014,965 
Bulgaria,,,104345,109281,108258,110165,108068,110523,113004,113438,113374,110110,111927,112617,112368,115087 
Canada,,,,246596,242074,240075,238418,238617,235217,228079,230132,226584,226169,223603,219538,218062 
Cabo Verde,,,,,2521,,,,,,,,,,, 
Cayman Islands,,,170,,,151,147,150,152,167,158,162,136,120,134,137 
Chile,,101960,99769,98711,94985,97930,91965,86783,89558,85639,86102,86138,83672,81079,81871,78814 
Colombia,,,203071,199756,195823,200522,196683,196748,191663,192814,188837,188781,189800,192074,191372,187276 
Costa Rica,,20290,19365,18913,18458,18988,16652,16478,15938,16641,15519,16475,15800,15004,15609,14944 
Croatia,54205,50839,50386,51710,51019,52096,52414,52151,52367,50378,51790,49756,52575,50569,49552,50246 
Cuba,,96330,92273,89372,87044,91065,86940,86423,81927,80831,84824,81110,78434,73883,79395,76463 
Cyprus,,,5272,5500,5248,5095,5182,5194,5380,5127,5425,5225,,,,5369 
Czech Republic,111173,105665,109160,108189,106848,106844,107421,104948,104636,104441,107938,107177,111288,108243,107755,109001 
Denmark,,50993,52182,52011,52205,54027,54531,54265,55281,55218,54712,55637,57378,58397,57632,57044 
Dominica,,614,619,618,603,589,559,545,567,539,489,557,557,594,510,426 
Dominican Republic,,,,36118,32048,29086,25546,24755,24514,25335,29991,30656,28317,26149,25735,23917 
Ecuador,,62981,63104,63511,62304,61616,59629,59950,57971,57895,56796,54697,53482,55531,55192,56335 
Egypt,,531864,511183,529233,493069,491609,476591,466381,452831,442057,431638,433968,437038,419533,406489,382138 
El Salvador,,,34247,32122,33162,32586,32872,31594,31349,31453,30933,30058,29395,27476,29574,28167 
Estonia,,15470,15374,15473,15204,15781,16099,16675,17409,17316,17316,17685,18152,18355,18516,18403 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,, 
Fiji,,,,6766,6663,,6404,6471,6310,6140,5952,5628,6116,5642,5764, 
Finland,,52409,51478,51737,50568,50910,49904,49090,49093,48106,47751,47757,49033,49389,48504,49316 
France,,,556031,558452,536628,541576,537197,532474,520535,515952,527516,509419,552335,535140,531072,530850 
French Guiana,,,762,788,693,771,702,774,704,726,740,719,721,669,660, 
Georgia,,49087,48553,49348,49818,47864,46625,,41178,42255,40721,48793,,,39339,41285 
Germany,,868356,893825,869582,852328,858768,854544,844439,827155,821627,830227,818271,853946,841686,828541,838797 
Greece,,,111794,116668,111099,109084,108316,107979,109895,104968,105091,104942,105529,103915,102559,105170 
Grenada,869,964,820,856,803,828,788,857,751,792,790,892,818,888,606, 
Guadeloupe,,,2942,2876,2835,3018,2922,2794,2770,2914,2927,2672,2662,2765,2608,2698 
Guatemala,,75809,74866,72657,72354,72748,71707,67356,68394,69756,70950,66876,66612,65985,67947,67135 
Guyana,,,,5548,5391,5433,4562,5003,5026,5031,5232,5141,4986,5072,4629, 
Haiti,,,,,,,,,,,,2309,8011,7657,9599, 
Honduras,,,6477,6025,5809,5867,5377,5434,,,,,,,, 
Hong Kong SAR,,,43399,43672,42188,42699,41047,41530,39963,37415,38683,37321,36423,34316,33305,33989 
Hungary,,126308,126778,129440,128795,130456,130414,130027,132938,131603,135732,132492,135823,132833,132183,135601 
Iceland,2182,2048,2158,1955,1988,2019,2002,1987,1943,1903,1837,1824,1826,1822,1725,1828 
Iraq,,,,,,,,106245,,,,,,,, 
Ireland,,,29504,29186,28456,27122,28898,28274,28117,28482,28260,28665,29074,29683,30212,31391 
Israel,,42170,41479,41877,40668,39418,38595,39241,39948,38564,38897,37757,38359,38301,37187,37688 
Italy,,,,613520,594153,584615,588438,581470,572881,558614,,,588897,560390,556892,560121 
Jamaica,,,,,16926,15440,17222,,,13682,17349,14394,14609,14859,16019,15779 
Japan,,1273004,1268436,1256359,1253066,1197012,1141865,1142407,1108334,1084450,1083796,1028602,1014951,982379,970331,961653 
Jordan,,,,17557,16892,15731,14807,14355,,,,,,,, 
Kazakhstan,131029,131895,136261,142880,144197,145873,142778,152706,158294,157210,157119,152250,155302,148700,147547,148855 
Kiribati,,,,,,,,,,,,,,,503,529 
Kuwait,,6031,5909,5950,5339,5448,5935,5701,5293,5247,4784,4793,4424,4342,4364,4227 
Kyrgyzstan,34809,35551,34880,36186,35941,36174,35898,37711,38181,38568,36992,35062,35945,35235,32677,34113 
Latvia,,28201,28687,29054,28550,30079,29937,31031,33056,33115,32777,32041,32437,32498,32991,32205 
Lithuania,41776,40252,41511,40938,41037,42120,42032,43832,45624,44813,43799,41340,40990,41072,40399,38919 
Luxembourg,,3705,3671,3721,3722,3621,3530,3434,3691,3623,3481,3424,3930,3603,3587,3623 
Macau,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,76016,71030,68124,65941,64785,61748,57645,56309,51960 
Maldives,,,,,1144,1141,,1066,1119,,995,991,1006,1082,1056,996 
Malta,,3270,3236,3420,3267,3010,3222,3243,3111,3216,3130,2999,3164,3031,2935,2973 
Martinique,,,2896,,2730,2854,2758,2789,2809,2656,2617,2647,2727,2649,2701,2692 
Mauritius,,9438,9231,9103,8951,8891,8987,8798,8323,8917,8422,8259,8310,8081,7761,7806 
Mayotte,,,414,453,12,,,,,,,,,,, 
Mexico,,618097,596129,587826,576662,578572,550946,536335,502075,493296,493957,471679,470692,457680,441004,437667 
Monaco,,,,,,,,,,,,,,,, 
Mongolia,,,,,,,,,,,,,,,, 
